"","anterior_reticular_formation_LEFT","anterior_reticular_formation_RIGHT","caudal_hypothalamus_LEFT","caudal_hypothalamus_RIGHT","cerebellum_LEFT","cerebellum_RIGHT","glossopharyngeal_ganglion_LEFT","glossopharyngeal_ganglion_RIGHT","habenula_LEFT","habenula_RIGHT","inferior_olive_LEFT","inferior_olive_RIGHT","intermediate_hypothalamus_LEFT","intermediate_hypothalamus_RIGHT","intermediate_reticular_formation_LEFT","intermediate_reticular_formation_RIGHT","interpeduncular_nucleus_LEFT","interpeduncular_nucleus_RIGHT","medial_octavolateral_nucleus_LEFT","medial_octavolateral_nucleus_RIGHT","MO_stripe_1_LEFT","MO_stripe_1_RIGHT","MO_stripe_2_LEFT","MO_stripe_2_RIGHT","MO_stripe_3_LEFT","MO_stripe_3_RIGHT","MO_stripe_4_LEFT","MO_stripe_4_RIGHT","MO_stripe_5_LEFT","MO_stripe_5_RIGHT","octaval_ganglion_LEFT","octaval_ganglion_RIGHT","olfactory_bulb_LEFT","olfactory_bulb_RIGHT","olfactory_epithelium_LEFT","olfactory_epithelium_RIGHT","pallium_LEFT","pallium_RIGHT","pituitary_LEFT","pituitary_RIGHT","posterior_reticular_formation_LEFT","posterior_reticular_formation_RIGHT","posterior_teberculum_LEFT","posterior_teberculum_RIGHT","preoptic_region_LEFT","preoptic_region_RIGHT","pretectum_LEFT","pretectum_RIGHT","raphe_nucleus_LEFT","raphe_nucleus_RIGHT","retina_LEFT","retina_RIGHT","rostral_hypothalamus_LEFT","rostral_hypothalamus_RIGHT","subpallium_LEFT","subpallium_RIGHT","tectum_LEFT","tectum_RIGHT","tegmentum_LEFT","tegmentum_RIGHT","thalamus_LEFT","thalamus_RIGHT","torus_longitudinalis_LEFT","torus_longitudinalis_RIGHT","torus_semicircularis_LEFT","torus_semicircularis_RIGHT","trigeminal_ganglion_LEFT","trigeminal_ganglion_RIGHT","vagal_region_LEFT","vagal_region_RIGHT","vagus_motor_neurons_LEFT","vagus_motor_neurons_RIGHT"
"anterior_reticular_formation_LEFT",0,0.133980771424451,0.0368835108351355,0.0314641005270666,0.0294944233365761,0.0231611107037982,0,0,0.000520843131127098,0,0.0220584115555499,0.000668094036843109,0.13948231296799,0.0717709471746125,0.30500028046543,0.0860547551615154,0.154166570574033,0.0318566774071607,0.0122630423189813,0.0254516759143925,0.107770949143508,0.0168941189682995,0.000734429164250171,0.00124366296952943,0.0673080063068285,0.0568155957386374,0.0242129767561644,0.0132845985772192,0.0177421249867481,0.0264669351226917,0.00687906872606258,0.000390742684986534,0,0,0,0,0.00786335885048429,0.00655393558374271,0.000899769776185713,0,0.246068031636838,0.0652302588124404,0.0235969460404513,0.0099640800847631,0.010274652662221,0.011786090650327,0.0404106092264483,0.0135468179436942,0.288658568278662,0.135178288405326,0,0,0.00683216029909676,0.00871360912722431,0.0122987397600618,0.0071414228634498,0.0106829506167265,0.00334739461723049,0.132864178725118,0.0443566192927728,0.105030628235971,0.0414214150414763,0,0,0.103328595135159,0.0497948747780161,0.00113495994270201,0,0.00135747182504001,0.00314836239992857,0.00235561270848413,0.000751785383376335
"anterior_reticular_formation_RIGHT",0.133980771424451,0,0.0371705946040163,0.0498026410110663,0.0251092270064854,0.0240810767566737,0,0,0,0.000815832432317836,0.00117736720074029,0.0170840861767516,0.0819748847038946,0.145156113027889,0.0829557716655686,0.306665336162691,0.04284154899535,0.147803297495622,0.0234281146793725,0.0153906746091742,0.0178354046401067,0.134825361303316,0.00168560154170873,0.000241391746426718,0.0543668050017966,0.0811627016482156,0.0199175318902416,0.0207342257162921,0.0303216406735018,0.0136241046648385,0.000374881515000285,0.00611845696457576,0,0,0,0,0.00883392686528272,0.00817489633566508,0,0.0009476754771189,0.0653384773598095,0.247768717772308,0.00695421456550587,0.031014569429186,0.0136247719398946,0.0113206986660071,0.0133092887805437,0.0404124750811407,0.136242022174037,0.298627623667713,0,0,0.00454356836991641,0.0137482571464476,0.0080181475577455,0.0115583941359807,0.0032992152380115,0.00949322293088256,0.0436821583180077,0.126792748543465,0.0402655028032679,0.101837560507493,0,0,0.0489697398226792,0.0940723505604866,0,0.00207813437585235,0.00225419131911936,0.00185953263142448,0.000664216753387913,0.00160869313442086
"caudal_hypothalamus_LEFT",0.0368835108351355,0.0371705946040163,0,0.0434371030984533,0,0,0,0,0.000634534242129179,0,0,0,0.0597861003568296,0.0414400526889007,0.000936526236347052,0.00100139576037785,0.0687824800848753,0.0540083604689757,0,0,0.00834453228655161,0.0106620258521759,0,0,0,0,0,0,0,0,0.00319427041582679,0,0,0,0,0,0.0016078403008824,0.000921153176590364,0,0,0.00395131912659575,0,0.00271315806079659,0.00265270863291186,0.00434838792057716,0.00357013016602607,0.00243593633329639,0,0.0573585858404988,0.0547436657910347,0,0,0,0.000347178225059701,0.00629159697176001,0.00599960356284256,0.00139170036190811,0,0.000604744827243289,0,0.00235196503542713,0.00033895223060803,0,0,0.00256059473691428,0,0,0,0,0,0,0
"caudal_hypothalamus_RIGHT",0.0314641005270666,0.0498026410110663,0.0434371030984533,0,0,0,0,0,0,0.00057861763217531,0,0,0.0479424645481253,0.0642476576411656,0.0011829698051696,0.000930946459883696,0.0668774381794317,0.0709623711598918,0,0,0.0107923250675058,0.0113825404021548,0,0,0,0,0,0,0,0,0,0.00337754678080635,0,0,0,0,0.000824559861733603,0.00172256396643854,0,0,0,0.00403821501686894,0.0022584536509971,0.00562214716085448,0.0035614820468916,0.00581850226872164,0,0.00225981769656575,0.0728274870573543,0.0579486610577697,0,0,0,0,0.00392554189096323,0.00594029418927654,0,0.00155143517006748,0,0.000519474776755555,0.000363043023446957,0.00307710883459353,0,0,0,0.00239557433896082,0,0,0,0,0,0
"cerebellum_LEFT",0.0294944233365761,0.0251092270064854,0,0,0,0.0803015529581146,0,0,0,0,0.000235756777258754,0,0.00486650078147119,0.0036603406264575,0.0124598033921839,0.0175265385269069,0.00384847116872297,0.00787859467368136,0.0620058409821642,0.028611586753524,0.0280731804575349,0.00540815702199355,0.000812164370035501,0.000341248279998589,0.0397780824988387,0.0117653215327269,0.0101826138745322,0.00518104258404878,0.0078010917475694,0.00533458605465757,0,0,0,0,0,0,0.000222260396581647,0.00013357326281419,0,0,0.0136333678119147,0.0205181085372828,0.000210926844332357,0.00191930846118922,0,0.000120979452359703,0.0145062093587291,0.0101064915326461,0.0201971037624744,0.0226739974556457,0,0,0,0,0.000422420135478387,0.000251385859905656,0.00101221248985347,0.000651047383279936,0.027746447692611,0.0239049288152345,0.00975948598807402,0.0082401105154701,0.00166159338214474,0.0017491167401156,0.00203030365734444,0.00394557506511281,0.000198721874009502,0,0.000745403606485148,0,0.000256226466520249,0
"cerebellum_RIGHT",0.0231611107037982,0.0240810767566737,0,0,0.0803015529581146,0,0,0,0,0,0.000723305309522583,0,0.00372929894074153,0.00507308516140263,0.017646635984337,0.0117630312710698,0.00839304589614289,0.00474803955052248,0.0254982517482517,0.0614749892372774,0.00597156313145035,0.0217025142028355,0.000646899357126704,0.000448478980304722,0.00824013101753843,0.0424111386838515,0.00548807644283573,0.00793278138977713,0.00353567655901552,0.00544753333724392,0,0,0,0,0,0,0,0.000137844004093546,0,0,0.0192645961122168,0.0112793514509779,0.00180506252843412,0,0,0,0.00926256056951669,0.0142723382758758,0.019524680792619,0.0204241137908838,0,0,0,0,0,0.000108035748451872,0.000493326586922718,0.000880018851574258,0.0246455688122472,0.0279215751790779,0.00896985339635135,0.00960103426159173,0.00176270919058199,0.00160556339928991,0.00355371975512333,0.00147053414749438,0,5.91860933946006e-05,0,0.00132230254414764,0,0.000219017005309958
"glossopharyngeal_ganglion_LEFT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125301227187494,0,0.0017632389461563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00431428765310623,0,0.000600288162584363,0
"glossopharyngeal_ganglion_RIGHT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177630324287124,0,0.00323148446553344,0,0,0,0,0,0,0,0,0,0,0,0.000149379548744097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00398375115601476,0,0
"habenula_LEFT",0.000520843131127098,0,0.000634534242129179,0,0,0,0,0,0,0.0713378976123258,0,0,0.00284588223633005,0.00246756301019028,0.000475754076966895,0,0.00561103437901704,0.00397107305452982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015676808687974,0.00138342830732273,0,0,0.00951569765937071,0.00729686903459153,0,0,0.000493447261164089,0,0.000558899254355168,0.0013585774049202,0,0.000571212108422039,0.000298941641189449,0,0.00100717735540077,0,0,0,0.000773401730461137,0.000769597654406523,0.00240754879226595,0.00271474841844125,0,0,0,0,0.0184911565469861,0.0145412939864707,0.000201988901619091,0.000448210387134467,0,0,0,0,0,0,0,0
"habenula_RIGHT",0,0.000815832432317836,0,0.00057861763217531,0,0,0,0,0.0713378976123258,0,0,0,0.00256971470856299,0.00247005551352288,0,0.00050924997310089,0.00367042389585765,0.00561219568453941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131664465581457,0.00148235920186206,0,0,0.00820878624825815,0.00845471427726918,0,0,0,0.000614227483500085,0.000608173542514042,0.00138938845228417,0,0.00293449474508463,0,0.000511168788462442,0.00042473506928957,0.00078793584255493,0,0,0.000650241116157123,0.000878423764666771,0.00222915181753386,0.0028113238100571,0,0,0,0,0.01480870273882,0.0197952768552604,0.000535113783339742,0.000185230100638919,0,0,0,0,0,0,0,0
