Anterior_reticular_formation_left arf
Anterior_reticular_formation_right aRF
Caudal_hypothalamus_left hc
Caudal_hypothalamus_right Hc
Cerebellum_left ce
Cerebellum_right Ce
Glossopharyngeal_ganglion_left gg
Glossopharyngeal_ganglion_right GG
Habenula_left ha
Habenula_right Ha
Inferior_olive_left io
Inferior_olive_right IO
Intermediate_hypothalamus_left hi
Intermediate_hypothalamus_right Hi
Intermediate_reticular_formation_left irf
Intermediate_reticular_formation_right iRF
Interpeduncular_nucleus_left nln
Interpeduncular_nucleus_right Nln
MO_stripe_1_left mos1
MO_stripe_1_right MOS1
MO_stripe_2_left mos2
MO_stripe_2_right MOS2
MO_stripe_3_left mos3
MO_stripe_3_right MOS3
MO_stripe_4_left mos4
MO_stripe_4_right MOS4
MO_stripe_5_left mos5
MO_stripe_5_right MOS5
Medial_octavolateral_nucleus_left mon
Medial_octavolateral_nucleus_right MON
Octaval_ganglion_left og
Octaval_ganglion_right OG
Olfactory_bulb_left ob
Olfactory_bulb_right OB
Olfactory_epithelium_left oe
Olfactory_epithelium_right OE
Pallium_left p
Pallium_right P
Pituitary_left pit
Pituitary_right Pit
Posterior_reticular_formation_left prf
Posterior_reticular_formation_right pRF
Posterior_tuberculum_left pt
Posterior_tuberculum_right PT
Preoptic_region_left po
Preoptic_region_right Po
Pretectum_left pr
Pretectum_right Pr
Raphe_nucleus_left r
Raphe_nucleus_right R
Retina_left ret
Retina_right Ret
Rostral_hypothalamus_left hr
Rostral_hypothalamus_right Hr
Subpallium_left s
Subpallium_right S
Tectum_left teo
Tectum_right TeO
Tegmentum_left t
Tegmentum_right T
Thalamus_left th
Thalamus_right TH
Torus_longitudinalis_left tl
Torus_longitudinalis_right TL
Torus_semicircularis_left ts
Torus_semicircularis_right TS
Trigeminal_ganglion_left tg
Trigeminal_ganglion_right TG
Vagal_region_left vr
Vagal_region_right VR
Vagus_motor_neurons_left nx
Vagus_motor_neurons_right NX
